cell_type,gene,gene_type,level,references,comments
Acinar_cells,PTF1A,TF,driver,https://doi.org/10.1101/gad.12.23.3752,
Acinar_cells,NR5A2,TF,driver,https://doi.org/10.1136/gutjnl-2012-304287,
Acinar_cells,FOXA2,TF,driver,https://doi.org/10.1371/journal.pone.0291512,
Acinar_cells,GATA4,TF,driver,https://doi.org/10.1371/journal.pone.0291512,
Acinar_cells,GATA6,TF,driver,https://doi.org/10.1371/journal.pone.0291512,
Acinar_cells,MIST1,TF,driver,https://doi.org/10.1053/j.gastro.2012.04.011,
Acinar_cells,PDX1,TF,driver,https://doi.org/10.1101/gad.291021.116,
Acinar_cells,RBPJ,TF,driver,https://doi.org/10.1053/j.gastro.2010.04.003,
Acinar_cells,RBPJL,TF,driver,https://doi.org/10.1053/j.gastro.2010.04.003,
Acinar_cells,BATF2,TF,function,https://doi.org/10.1007/s00125-011-2283-5,Could be novel
Adrenocortical_cells,NR5A1,TF,driver,https://doi.org/10.1128/mcb.17.7.3997,
Adrenocortical_cells,GATA4,TF,driver,https://doi.org/10.1210/en.2014-1815,
Adrenocortical_cells,GATA6,TF,driver,,
Adrenocortical_cells,CTNNB1,TF,driver,,
Adrenocortical_cells,NR0B1,TF,driver,,
Adrenocortical_cells,WT1,TF,driver,,
Adrenocortical_cells,NR5A2,TF,driver,,
Adrenocortical_cells,FOXL2,TF,driver,,
Adrenocortical_cells,TBX19,TF,driver,,
Amacrine_cells,PAX6,TF,driver,https://doi.org/10.1016/j.ydbio.2017.09.030,
Amacrine_cells,PTF1A,TF,driver,,
Amacrine_cells,TFAP2A,TF,driver,https://doi.org/10.1186/s13041-015-0118-x,
Amacrine_cells,TFAP2B,TF,driver,https://doi.org/10.1186/s13041-015-0118-x,
Amacrine_cells,SOX2,TF,driver,,
Amacrine_cells,NEUROD1,TF,driver,https://doi.org/10.1242/dev.129.4.831,
Amacrine_cells,SIX3,TF,driver,https://doi.org/10.1242/dev.129.4.831,
Amacrine_cells,SIX6,TF,driver,,
Amacrine_cells,FOXN4,TF,driver,,
Amacrine_cells,RORB,TF,driver,,
Amacrine_cells,NEUROG2,TF,driver,,
Antigen_presenting_cells,SPI1,TF,driver,https://doi.org/10.1126/sciimmunol.aau4292,
Antigen_presenting_cells,IRF4,TF,driver,,
Antigen_presenting_cells,BCL6,TF,driver,,
Antigen_presenting_cells,TFEB,TF,driver,,
Antigen_presenting_cells,NOTCH1,TF,driver,,
Antigen_presenting_cells,CEBPA,TF,driver,,
Antigen_presenting_cells,IRF8,TF,driver,https://doi.org/10.1126/sciimmunol.aau4292,
Antigen_presenting_cells,BATF3,TF,driver,https://doi.org/10.1126/sciimmunol.aau4292,
Antigen_presenting_cells,MAFB,TF,driver,,
Antigen_presenting_cells,KLF4,TF,driver,,
Antigen_presenting_cells,RUNX3,TF,driver,https://doi.org/10.1615/CritRevImmunol.2018025488,
Antigen_presenting_cells,CIITA,TF,driver,https://doi.org/10.3389/fimmu.2019.01806,
